"المعرف","السجلات التاريخية","الاسم العربي","الاسم الإنجليزي","النطاق","حالة السجل","مسار العرض","مرجع السيناريو","نوع دليل التنفيذ","مرجع الاختبار","اختبار القبول الخاص","حالة التحقق","دليل تكامل حي","دليل إيراد","دعم تقييم الاستحواذ","الدليل التالي المطلوب","حد الادعاء"
"1","1","السلة الذكية","Smart Basket","التجارة والأسواق","demonstrated","لوحة القيادة ← التجارة والأسواق ← الميزات المرتبطة ← السجل #1","السيناريو 1: السلة من الطلب إلى التسليم","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"2","2","المزاد العكسي الذكي","Smart Reverse Auction™","التجارة والأسواق","demonstrated","لوحة القيادة ← التجارة والأسواق ← الميزات المرتبطة ← السجل #2","السيناريو 1: السلة من الطلب إلى التسليم","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"3","3","التقارير المحاسبية المؤتمتة والقابلة للطباعة","Automated & Printable Accounting Reports™","المحاسبة والمالية","demonstrated","لوحة القيادة ← المحاسبة والمالية ← الميزات المرتبطة ← السجل #3","مسار نطاق المالية: التقارير المحاسبية الآلية","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"4","4","محرك الهوية الرقمية الآمنة","Secure Digital Identity Engine™","الحوكمة والامتثال","demonstrated","لوحة القيادة ← الحوكمة والامتثال ← الميزات المرتبطة ← السجل #4","السيناريو 4: معاملة شرعية مع حارس وقواعد","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"5","5","نظام المزادات الخيرية الموجّهة","Charity-Oriented Auctions™","الأثر الاجتماعي","demonstrated","لوحة القيادة ← الأثر الاجتماعي ← الميزات المرتبطة ← السجل #5","السيناريو 5: تبرع ووقف قابلان للتتبع","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"6","6","نظام الذكاء الاصطناعي للتنبؤ بالطلب","AI Demand Forecasting Engine™","الذكاء والتحليلات","demonstrated","لوحة القيادة ← الذكاء والتحليلات ← الميزات المرتبطة ← السجل #6","السيناريو 6: استباق أزمة غذائية","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"7","7","تتبّع سلسلة الإمداد وإثبات المنشأ","Supply Chain Traceability & Proof-of-Origin™","الإمداد والجودة","demonstrated","لوحة القيادة ← الإمداد والجودة ← الميزات المرتبطة ← السجل #7","السيناريو 3: التوريد وإثبات المنشأ","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"8","8","نظام التوصية الذكي للمستهلكين","Smart Consumer Recommendation Engine™","التجارة والأسواق","demonstrated","لوحة القيادة ← التجارة والأسواق ← الميزات المرتبطة ← السجل #8","السيناريو 1: السلة من الطلب إلى التسليم","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"9","9","ميزة غير معرفة في هذه النسخة (محجوزة أو مدمجة ضمن ميزة أخرى)","Undefined feature in this version (reserved or merged)","محجوزة أو مدمجة","reserved","السجل الموحد ← السجل #9","لا يوجد؛ السجل محجوز أو مدمج","سجل تاريخي محجوز أو مدمج","tests/registry.test.cjs: reserved and deduplication assertions","not-created","مستبعد من عدّاد الميزات المعرفة","false","false","false","لا يوجد؛ يبقى السجل محفوظاً للتدقيق ولا يعاد تقديمه كميزة مستقلة","لا يجوز استخدامه لإثبات ميزة منفذة"
"10","10","مؤشرات الأداء الاجتماعية والاقتصادية اللحظية","Real-Time Socio-Economic Impact Indicators™","الأثر الاجتماعي","demonstrated","لوحة القيادة ← الأثر الاجتماعي ← الميزات المرتبطة ← السجل #10","السيناريو 5: تبرع ووقف قابلان للتتبع","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
